MsCode,Year,EstCode,Estimate,SE,LowerCIB,UpperCIB,Flag
MEASA,2007,A_Proportion,14,1.3,12.7,15.4,
MEASA,2007,B_ChangeInProportion,,,,,NA
MEASA,2007,C_Number,150.8,14.1,136.7,164.9,
MEASA,2007,D_ChangeInNumber,,,,,NA
MEASA,2007,E_Population,1073.4,,,,
MEASA,2008,A_Proportion,14.5,1.1,13.4,15.6,
MEASA,2008,B_ChangeInProportion,0.4,1.8,-1.3,2.2,
MEASA,2008,C_Number,155.9,11.7,144.2,167.6,
MEASA,2008,D_ChangeInNumber,5.1,19.1,-14,24.2,
MEASA,2008,E_Population,1076.5,,,,
MEASA,2009,A_Proportion,14,1.1,12.8,15.1,
MEASA,2009,B_ChangeInProportion,-0.5,1.5,-2,1,
MEASA,2009,C_Number,150.6,12.3,138.4,162.9,
MEASA,2009,D_ChangeInNumber,-5.3,16.3,-21.6,11,
MEASA,2009,E_Population,1078.1,,,,
MEASA,2010,A_Proportion,14.1,1.3,12.8,15.4,
MEASA,2010,B_ChangeInProportion,0.1,1.7,-1.6,1.8,
MEASA,2010,C_Number,152.5,14.4,138.1,166.9,
MEASA,2010,D_ChangeInNumber,1.9,18.2,-16.3,20.1,
MEASA,2010,E_Population,1082.6,,,,
MEASA,2011,A_Proportion,14.9,1.3,13.6,16.2,
MEASA,2011,B_ChangeInProportion,0.8,1.7,-0.9,2.5,
MEASA,2011,C_Number,161.9,13.9,148,175.8,
MEASA,2011,D_ChangeInNumber,9.4,18.3,-8.9,27.7,
MEASA,2011,E_Population,1086.9,,,,
MEASA,2012,A_Proportion,14.8,1.1,13.7,15.9,
MEASA,2012,B_ChangeInProportion,-0.1,1.7,-1.8,1.7,
MEASA,2012,C_Number,160.9,11.9,149,172.8,
MEASA,2012,D_ChangeInNumber,-1,18.8,-19.8,17.8,
MEASA,2012,E_Population,1085.9,,,,
MEASA,2013,A_Proportion,15.6,1.2,14.4,16.7,
MEASA,2013,B_ChangeInProportion,0.8,1.5,-0.7,2.3,
MEASA,2013,C_Number,169,12.6,156.4,181.6,
MEASA,2013,D_ChangeInNumber,8.1,16.4,-8.3,24.5,
MEASA,2013,E_Population,1084.7,,,,
MEASA,2014,A_Proportion,14.5,1.1,13.4,15.7,
MEASA,2014,B_ChangeInProportion,-1.1,1.5,-2.6,0.5,
MEASA,2014,C_Number,157.5,12.3,145.2,169.8,
MEASA,2014,D_ChangeInNumber,-11.5,16.7,-28.2,5.2,
MEASA,2014,E_Population,1083.9,,,,
MEASA,2015,A_Proportion,16.3,1.1,15.2,17.4,
MEASA,2015,B_ChangeInProportion,1.8,1.7,0.1,3.5,
MEASA,2015,C_Number,177.2,12.2,165,189.4,
MEASA,2015,D_ChangeInNumber,19.7,18.3,1.4,38,
MEASA,2015,E_Population,1087.2,,,,
MEASA,2016,A_Proportion,15.4,1.1,14.3,16.5,
MEASA,2016,B_ChangeInProportion,-0.9,1.6,-2.5,0.7,
MEASA,2016,C_Number,168.3,11.9,156.5,180.2,
MEASA,2016,D_ChangeInNumber,-8.9,16.9,-25.8,8,
MEASA,2016,E_Population,1093.2,,,,
MEASA,2017,A_Proportion,14.2,1.1,13,15.3,
MEASA,2017,B_ChangeInProportion,-1.2,1.6,-2.8,0.3,
MEASA,2017,C_Number,156.3,12.4,143.9,168.6,
MEASA,2017,D_ChangeInNumber,-12.1,17.2,-29.3,5.1,
MEASA,2017,E_Population,1103.2,,,,
MEASA,2018,A_Proportion,16.5,1.1,15.4,17.6,
MEASA,2018,B_ChangeInProportion,2.3,1.6,0.7,3.9,
MEASA,2018,C_Number,183.4,12.2,171.2,195.6,
MEASA,2018,D_ChangeInNumber,27.1,17.4,9.7,44.5,
MEASA,2018,E_Population,1113.3,,,,
MEASA,2019,A_Proportion,13.5,0.9,12.6,14.4,
MEASA,2019,B_ChangeInProportion,-2.9,1.7,-4.7,-1.2,
MEASA,2019,C_Number,153.2,10.1,143.2,163.3,
MEASA,2019,D_ChangeInNumber,-30.1,19.6,-49.7,-10.5,
MEASA,2019,E_Population,1132.8,,,,
MEASA,2020,A_Proportion,13.2,1.2,12,14.5,
MEASA,2020,B_ChangeInProportion,-0.3,1.6,-1.9,1.2,
MEASA,2020,C_Number,151.2,14.2,137,165.4,
MEASA,2020,D_ChangeInNumber,-2.1,17.8,-19.9,15.7,
MEASA,2020,E_Population,1144.1,,,,
MEASA,2021,A_Proportion,13,1.2,11.8,14.2,
MEASA,2021,B_ChangeInProportion,-0.2,1.6,-1.9,1.4,
MEASA,2021,C_Number,149.1,13.8,135.3,162.9,
MEASA,2021,D_ChangeInNumber,-2.1,18.8,-20.9,16.7,
MEASA,2021,E_Population,1149.2,,,,
MEASA,2022,A_Proportion,11.7,1.7,10,13.4,
MEASA,2022,B_ChangeInProportion,-1.3,2.1,-3.4,0.8,
MEASA,2022,C_Number,134.3,19.4,114.8,153.7,
MEASA,2022,D_ChangeInNumber,-14.8,24.1,-38.9,9.3,
MEASA,2022,E_Population,1150.5,,,,
MEASA,2023,A_Proportion,12.6,1.3,11.3,13.9,
MEASA,2023,B_ChangeInProportion,1,2.2,-1.2,3.2,
MEASA,2023,C_Number,146,15,131,161,
MEASA,2023,D_ChangeInNumber,11.7,25.4,-13.7,37.1,
MEASA,2023,E_Population,1155.8,,,,
MEASB,2007,A_Proportion,,,,,NA
MEASB,2007,B_ChangeInProportion,,,,,NA
MEASB,2007,C_Number,,,,,NA
MEASB,2007,D_ChangeInNumber,,,,,NA
MEASB,2007,E_Population,,,,,NA
MEASB,2008,A_Proportion,,,,,NA
MEASB,2008,B_ChangeInProportion,,,,,NA
MEASB,2008,C_Number,,,,,NA
MEASB,2008,D_ChangeInNumber,,,,,NA
MEASB,2008,E_Population,,,,,NA
MEASB,2009,A_Proportion,30.5,3,27.5,33.4,
MEASB,2009,B_ChangeInProportion,,,,,NA
MEASB,2009,C_Number,328.6,32.1,296.5,360.7,
MEASB,2009,D_ChangeInNumber,,,,,NA
MEASB,2009,E_Population,1078.1,,,,
MEASB,2010,A_Proportion,26.9,3.1,23.7,30,
